"tabela","categoria","idade_cat","sexo","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade"
"estados","Sao Paulo","12 - 17m","Feminino",15,0.16,3.95,0.09
"estados","Sergipe","12 - 17m","Feminino",25.3,0.45,9.69,0.3
"estados","Tocantins","12 - 17m","Feminino",17.68,0.47,5.37,0.28
"estados","Acre","12 - 17m","Masculino",20.99,0.71,7.35,0.46
"estados","Alagoas","12 - 17m","Masculino",26.05,0.38,9.68,0.26
"estados","Amapa","12 - 17m","Masculino",25.08,1.23,7.72,0.76
"estados","Amazonas","12 - 17m","Masculino",21.31,0.35,7.25,0.22
"estados","Bahia","12 - 17m","Masculino",18.85,0.16,6.25,0.1
"estados","Ceara","12 - 17m","Masculino",27.88,0.22,10.33,0.15
"estados","Distrito Federal","12 - 17m","Masculino",14.77,0.83,4.1,0.46
"estados","Espirito Santo","12 - 17m","Masculino",18.04,0.4,5.48,0.23
"estados","Goias","12 - 17m","Masculino",17.97,0.35,6.07,0.22
"estados","Maranhao","12 - 17m","Masculino",23.53,0.24,8.88,0.16
"estados","Mato Grosso","12 - 17m","Masculino",16.23,0.45,5.07,0.27
"estados","Mato Grosso do Sul","12 - 17m","Masculino",16.45,0.43,5.17,0.26
"estados","Minas Gerais","12 - 17m","Masculino",16.75,0.15,5.29,0.09
"estados","Para","12 - 17m","Masculino",22.19,0.25,7.87,0.16
"estados","Paraiba","12 - 17m","Masculino",22.75,0.27,7.28,0.16
"estados","Parana","12 - 17m","Masculino",16.36,0.18,4.26,0.1
"estados","Pernambuco","12 - 17m","Masculino",24.14,0.25,8.66,0.16
"estados","Piaui","12 - 17m","Masculino",20.45,0.33,6.88,0.21
"estados","Rio Grande do Norte","12 - 17m","Masculino",24.29,0.4,8.87,0.26
"estados","Rio Grande do Sul","12 - 17m","Masculino",21.19,0.3,6.67,0.18
"estados","Rio de Janeiro","12 - 17m","Masculino",19.73,0.3,6.4,0.18
"estados","Rondonia","12 - 17m","Masculino",18.46,0.69,6.04,0.42
"estados","Roraima","12 - 17m","Masculino",16.02,0.99,5.29,0.61
"estados","Santa Catarina","12 - 17m","Masculino",16.16,0.39,4.64,0.22
"estados","Sao Paulo","12 - 17m","Masculino",16.24,0.17,4.53,0.1
"estados","Sergipe","12 - 17m","Masculino",26.68,0.47,10.78,0.33
"estados","Tocantins","12 - 17m","Masculino",18.93,0.49,6.71,0.31
"estados","Acre","18 - 23m","Feminino",17.2,0.57,5.36,0.34
"estados","Alagoas","18 - 23m","Feminino",21.76,0.3,7.29,0.19
"estados","Amapa","18 - 23m","Feminino",17.79,0.86,5.56,0.52
"estados","Amazonas","18 - 23m","Feminino",16.3,0.26,5.43,0.16
"estados","Bahia","18 - 23m","Feminino",16.14,0.13,5.09,0.08
"estados","Ceara","18 - 23m","Feminino",23.04,0.18,7.84,0.12
"estados","Distrito Federal","18 - 23m","Feminino",13.12,0.67,3.19,0.35
"estados","Espirito Santo","18 - 23m","Feminino",15.14,0.32,4.43,0.19
"estados","Goias","18 - 23m","Feminino",15.89,0.29,4.69,0.17
"estados","Maranhao","18 - 23m","Feminino",19.01,0.19,6.5,0.12
"estados","Mato Grosso","18 - 23m","Feminino",14.8,0.36,4.56,0.21
"estados","Mato Grosso do Sul","18 - 23m","Feminino",15.48,0.38,4.24,0.21
"estados","Minas Gerais","18 - 23m","Feminino",15.34,0.13,4.66,0.08
"estados","Para","18 - 23m","Feminino",18.28,0.19,5.7,0.12
"estados","Paraiba","18 - 23m","Feminino",19.14,0.22,6.03,0.13
"estados","Parana","18 - 23m","Feminino",14.61,0.16,3.64,0.09
"estados","Pernambuco","18 - 23m","Feminino",21.9,0.2,7.27,0.13
"estados","Piaui","18 - 23m","Feminino",16.12,0.26,5.14,0.15
"estados","Rio Grande do Norte","18 - 23m","Feminino",20.84,0.32,6.96,0.2
"estados","Rio Grande do Sul","18 - 23m","Feminino",19.37,0.25,5.63,0.15
"estados","Rio de Janeiro","18 - 23m","Feminino",18.17,0.24,5.85,0.15
"estados","Rondonia","18 - 23m","Feminino",15.17,0.53,4.94,0.32
"estados","Roraima","18 - 23m","Feminino",16.02,0.78,4.77,0.45
"estados","Santa Catarina","18 - 23m","Feminino",15.86,0.36,4.68,0.21
"estados","Sao Paulo","18 - 23m","Feminino",15.68,0.14,4.34,0.08
"estados","Sergipe","18 - 23m","Feminino",22.8,0.37,8.09,0.24
"estados","Tocantins","18 - 23m","Feminino",15.5,0.39,5.13,0.24
"estados","Acre","18 - 23m","Masculino",19.47,0.59,6.24,0.36
"estados","Alagoas","18 - 23m","Masculino",23.13,0.32,8.5,0.21
"estados","Amapa","18 - 23m","Masculino",21.22,0.93,7.83,0.61
"estados","Amazonas","18 - 23m","Masculino",18.4,0.27,6.1,0.17
"estados","Bahia","18 - 23m","Masculino",16.86,0.13,5.63,0.08
"estados","Ceara","18 - 23m","Masculino",24.91,0.19,8.93,0.12
"estados","Distrito Federal","18 - 23m","Masculino",15.01,0.7,4.5,0.41
"estados","Espirito Santo","18 - 23m","Masculino",16.69,0.34,4.69,0.19
"estados","Goias","18 - 23m","Masculino",17.25,0.3,5.65,0.18
"estados","Maranhao","18 - 23m","Masculino",19.56,0.19,6.94,0.12
"estados","Mato Grosso","18 - 23m","Masculino",15.15,0.37,4.77,0.22
"estados","Mato Grosso do Sul","18 - 23m","Masculino",17.48,0.4,5.3,0.24
"estados","Minas Gerais","18 - 23m","Masculino",16.51,0.13,5.26,0.08
"estados","Para","18 - 23m","Masculino",19.3,0.2,6.59,0.12
"estados","Paraiba","18 - 23m","Masculino",20.86,0.23,6.85,0.14
"estados","Parana","18 - 23m","Masculino",16.31,0.17,4.31,0.09
"estados","Pernambuco","18 - 23m","Masculino",22.96,0.21,8.47,0.14
"estados","Piaui","18 - 23m","Masculino",17.11,0.27,5.8,0.16
"estados","Rio Grande do Norte","18 - 23m","Masculino",22.72,0.34,8,0.22
"estados","Rio Grande do Sul","18 - 23m","Masculino",21.95,0.27,6.68,0.16
"estados","Rio de Janeiro","18 - 23m","Masculino",20.25,0.25,6.89,0.16
"estados","Rondonia","18 - 23m","Masculino",16.31,0.57,5.42,0.35
"estados","Roraima","18 - 23m","Masculino",17.7,0.82,5.11,0.47
"estados","Santa Catarina","18 - 23m","Masculino",17.77,0.38,5.1,0.22
"estados","Sao Paulo","18 - 23m","Masculino",16.87,0.15,4.8,0.09
"estados","Sergipe","18 - 23m","Masculino",23.18,0.38,8.67,0.26
"estados","Tocantins","18 - 23m","Masculino",17.68,0.42,6,0.26
"estados","Acre","2a","Feminino",12.05,0.35,3.94,0.21
"estados","Alagoas","2a","Feminino",15.73,0.19,5.47,0.12
"estados","Amapa","2a","Feminino",10.79,0.46,3.28,0.27
"estados","Amazonas","2a","Feminino",11.33,0.15,3.67,0.09
"estados","Bahia","2a","Feminino",11.58,0.08,3.85,0.05
"estados","Ceara","2a","Feminino",17.52,0.12,5.99,0.07
"estados","Distrito Federal","2a","Feminino",10.48,0.42,3.44,0.25
"estados","Espirito Santo","2a","Feminino",10.81,0.21,3.34,0.12
"estados","Goias","2a","Feminino",12.15,0.18,4.22,0.11
"estados","Maranhao","2a","Feminino",12.45,0.11,4.16,0.07
"estados","Mato Grosso","2a","Feminino",11.77,0.23,3.67,0.14
"estados","Mato Grosso do Sul","2a","Feminino",12.29,0.25,3.56,0.14
"estados","Minas Gerais","2a","Feminino",11.92,0.09,3.85,0.05
"estados","Para","2a","Feminino",11.57,0.11,3.78,0.07
"estados","Paraiba","2a","Feminino",14.46,0.15,4.81,0.09
"estados","Parana","2a","Feminino",11.99,0.12,3.5,0.07
