"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"regiao","norte","5a","Masculino","Rural",-0.8,-0.47,0.04,66775
"regiao","norte","5a","Masculino","Urbana",-0.53,-0.24,0.11,122199
"regiao","sudeste","5a","Masculino","Rural",0.02,0.18,0.22,59621
"regiao","sudeste","5a","Masculino","Urbana",0.02,0.28,0.37,292930
"regiao","sul","5a","Masculino","Rural",-0.04,0.32,0.5,29064
"regiao","sul","5a","Masculino","Urbana",-0.01,0.36,0.53,100267
"regiao","centro_oeste","6a","Feminino","Rural",-0.03,0.1,0.13,9678
"regiao","centro_oeste","6a","Feminino","Urbana",0.11,0.17,0.11,56993
"regiao","nordeste","6a","Feminino","Rural",-0.13,-0.07,-0.03,231883
"regiao","nordeste","6a","Feminino","Urbana",-0.02,0.09,0.11,338714
"regiao","norte","6a","Feminino","Rural",-0.65,-0.47,-0.14,56364
"regiao","norte","6a","Feminino","Urbana",-0.4,-0.24,-0.03,109264
"regiao","sudeste","6a","Feminino","Rural",0.07,0.14,0.09,51939
"regiao","sudeste","6a","Feminino","Urbana",0.12,0.28,0.26,253945
"regiao","sul","6a","Feminino","Rural",0.03,0.24,0.29,26116
"regiao","sul","6a","Feminino","Urbana",0.08,0.33,0.37,88113
"regiao","centro_oeste","6a","Masculino","Rural",-0.05,0.16,0.26,9454
"regiao","centro_oeste","6a","Masculino","Urbana",0.05,0.19,0.2,54308
"regiao","nordeste","6a","Masculino","Rural",-0.21,-0.07,0.06,224662
"regiao","nordeste","6a","Masculino","Urbana",-0.08,0.11,0.2,310239
"regiao","norte","6a","Masculino","Rural",-0.75,-0.47,-0.01,54126
"regiao","norte","6a","Masculino","Urbana",-0.49,-0.25,0.06,98687
"regiao","sudeste","6a","Masculino","Rural",0.02,0.15,0.17,51342
"regiao","sudeste","6a","Masculino","Urbana",0.06,0.28,0.33,236351
"regiao","sul","6a","Masculino","Rural",-0.01,0.31,0.44,26007
