"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"estados","Sao Paulo","06 - 11m","Feminino",-0.33,0.13,0.45,29975
"estados","Sergipe","06 - 11m","Feminino",-0.27,0.55,0.98,5468
"estados","Tocantins","06 - 11m","Feminino",-0.38,0.25,0.66,3945
"estados","Acre","06 - 11m","Masculino",-0.66,0.19,0.78,1899
"estados","Alagoas","06 - 11m","Masculino",-0.6,0.3,0.88,7832
"estados","Amapa","06 - 11m","Masculino",-0.92,0.1,0.85,642
"estados","Amazonas","06 - 11m","Masculino",-0.73,0.12,0.74,6797
"estados","Bahia","06 - 11m","Masculino",-0.4,0.21,0.6,37638
"estados","Ceara","06 - 11m","Masculino",-0.58,0.39,0.98,23117
"estados","Distrito Federal","06 - 11m","Masculino",-0.45,-0.04,0.29,1090
"estados","Espirito Santo","06 - 11m","Masculino",-0.2,0.33,0.61,6556
"estados","Goias","06 - 11m","Masculino",-0.53,0.05,0.49,6809
"estados","Maranhao","06 - 11m","Masculino",-0.81,0.16,0.86,16088
"estados","Mato Grosso","06 - 11m","Masculino",-0.5,0.04,0.46,3928
"estados","Mato Grosso do Sul","06 - 11m","Masculino",-0.47,0.11,0.52,5545
"estados","Minas Gerais","06 - 11m","Masculino",-0.43,0.07,0.43,43764
"estados","Para","06 - 11m","Masculino",-0.75,0.2,0.86,14177
"estados","Paraiba","06 - 11m","Masculino",-0.45,0.38,0.86,17461
"estados","Parana","06 - 11m","Masculino",-0.43,0.12,0.5,31896
"estados","Pernambuco","06 - 11m","Masculino",-0.53,0.3,0.82,18990
"estados","Piaui","06 - 11m","Masculino",-0.5,0.25,0.74,8553
"estados","Rio Grande do Norte","06 - 11m","Masculino",-0.4,0.39,0.84,7184
"estados","Rio Grande do Sul","06 - 11m","Masculino",-0.5,0.2,0.66,12822
"estados","Rio de Janeiro","06 - 11m","Masculino",-0.54,0.12,0.59,9566
"estados","Rondonia","06 - 11m","Masculino",-0.47,0.19,0.64,1795
"estados","Roraima","06 - 11m","Masculino",-0.8,0.08,0.74,653
"estados","Santa Catarina","06 - 11m","Masculino",-0.45,0.03,0.4,7598
"estados","Sao Paulo","06 - 11m","Masculino",-0.48,0.08,0.49,29482
"estados","Sergipe","06 - 11m","Masculino",-0.52,0.43,0.99,5478
"estados","Tocantins","06 - 11m","Masculino",-0.66,0.16,0.75,3846
"estados","Acre","12 - 17m","Feminino",-0.69,0.14,0.77,3376
"estados","Alagoas","12 - 17m","Feminino",-0.45,0.43,0.97,13870
"estados","Amapa","12 - 17m","Feminino",-0.93,0.12,0.93,1274
"estados","Amazonas","12 - 17m","Feminino",-0.78,0.09,0.78,14383
"estados","Bahia","12 - 17m","Feminino",-0.34,0.29,0.7,63262
"estados","Ceara","12 - 17m","Feminino",-0.44,0.47,1.03,40829
"estados","Distrito Federal","12 - 17m","Feminino",-0.49,0.07,0.5,1806
"estados","Espirito Santo","12 - 17m","Feminino",-0.16,0.41,0.71,9760
"estados","Goias","12 - 17m","Feminino",-0.39,0.18,0.59,12350
"estados","Maranhao","12 - 17m","Feminino",-0.73,0.16,0.84,30661
"estados","Mato Grosso","12 - 17m","Feminino",-0.43,0.16,0.58,6940
"estados","Mato Grosso do Sul","12 - 17m","Feminino",-0.48,0.17,0.64,7438
"estados","Minas Gerais","12 - 17m","Feminino",-0.32,0.24,0.61,61576
"estados","Para","12 - 17m","Feminino",-0.77,0.15,0.85,27779
"estados","Paraiba","12 - 17m","Feminino",-0.3,0.46,0.9,25418
"estados","Parana","12 - 17m","Feminino",-0.31,0.32,0.71,40958
"estados","Pernambuco","12 - 17m","Feminino",-0.36,0.43,0.9,30867
"estados","Piaui","12 - 17m","Feminino",-0.48,0.25,0.76,15578
"estados","Rio Grande do Norte","12 - 17m","Feminino",-0.36,0.45,0.93,12218
"estados","Rio Grande do Sul","12 - 17m","Feminino",-0.41,0.38,0.88,19728
